NHPDPropertyID,PropertyName,Latitude,Longitude,PropertyStatus,TotalUnits,EarliestStartDate,EarliestEndDate,LatestEndDate
1118561,RIDGECREST APARTMENTS,35.3880300,-78.5372200,Active,32,1/1/91,1/1/21,6/19/41
1118812,ROCKMOOR APARTMENTS,36.1645800,-81.8775900,Active,12,1/1/91,1/1/21,2/22/41
1120300,SHEFFIELD MANOR,35.7286800,-79.4528400,Active,36,1/1/91,1/1/21,6/22/41
1121148,BROOKWAY VILLAGE,35.9764890,-77.9561400,Active,36,1/1/91,1/1/21,2/27/59
1121398,THE WILLOWS,36.2951400,-78.5973000,Active,40,1/1/91,1/1/21,2/27/59
1122255,BLACK RIVER VILLAGE APARTMENTS PHASE II,35.4964500,-78.7383800,Inconclusive,32,1/1/91,1/1/21,1/1/21
1063351,OAK HILL APARTMENTS,36.3345400,-78.4279100,Active,50,7/1/93,1/20/21,2/1/39
1063419,ASHEVILLE TERRACE APARTMENTS,35.5874500,-82.5275600,Active,248,1/2/18,1/31/21,1/31/21
1063496,RANDOLPH HILL APARTMENTS,35.7407560,-79.6517520,Active,40,7/1/93,1/31/21,3/1/39
1063065,ARC/HDS WILSON COUNTY GROUP HOME #1,35.7317660,-77.9115610,Active,6,2/11/16,2/10/21,2/10/21
1063111,ARC/HDS DUPLIN CO GH #1,34.8989810,-78.0529300,Active,6,2/11/16,2/10/21,2/10/21
1064415,,35.2112140,-80.7523600,Active,5,2/15/11,2/15/21,2/15/21
1023140,AS MECKLENBURG CO GH #2,35.1962400,-80.7820800,Active,7,12/21/92,2/23/21,4/1/32
1023148,AS MECKLENBURG CO GH #1,35.2571900,-80.9223000,Active,7,12/21/92,2/23/21,4/1/32
1063478,ARC/HDS LENOIR CO GROUP HOME #3,35.3155200,-77.5962000,Active,6,2/25/16,2/28/21,2/28/21
1063189,LAGRANGE MEADOWS APARTMENTS,35.3076000,-77.7829600,Active,46,7/1/93,3/1/21,2/1/39
1063091,IN-CHU-CO APARTMENTS,35.9362900,-79.0314900,Active,79,1/1/93,3/3/21,12/1/55
1019398,ARC/HDS ALAMANCE CO GH #7,36.0840400,-79.2657800,Active,7,3/11/20,3/10/21,3/10/21
1019695,ARC/HDS ALAMANCE CO GH #8,36.1577700,-79.4456400,Active,7,3/12/20,3/11/21,3/11/21
1117805,WALNUT TERRACE,35.8581100,-77.0665200,Active,50,11/20/80,3/11/21,4/12/31
1065461,,35.9293880,-77.7886080,Active,24,3/21/16,3/21/21,3/21/21
1023146,AS DURHAM CO GROUP HOME #1,36.0854100,-78.8872300,Active,7,12/11/92,3/23/21,6/1/32
1023150,AS WAKE CO GH #1,35.7799800,-78.6000700,Active,7,1/29/93,3/23/21,6/1/32
1063101,KOINONIA APARTMENTS,35.9159900,-81.5404200,Active,84,4/1/07,3/24/21,3/1/42
1065081,JEROME HOUSE,36.2889200,-80.8526400,Active,1,3/28/06,3/28/21,3/28/21
1008722,SELF HELP,35.9835600,-78.9059800,Active,2,3/29/11,3/29/21,3/29/21
1063271,SANDY RUN APARTMENTS I AND II,34.7677500,-77.3878900,Active,152,6/1/08,3/31/21,3/1/53
1063389,GLOVER PLAZA,34.2093500,-77.9280200,Active,75,12/1/91,3/31/21,3/31/21
1064955,MEADOW WOODS,36.4154840,-78.9534750,Active,44,3/12/80,3/31/21,2/28/30
1065378,,35.7550030,-81.6795640,Active,2,3/31/06,3/31/21,3/31/21
1121657,MYRTLE TERRACE APARTMENTS,35.2404710,-81.0414100,Active,32,4/10/79,3/31/21,3/28/29
1063125,COUNTRY VILLAGE,36.0871200,-80.3280200,Active,150,3/12/81,4/1/21,3/30/35
1023225,SMITHFIELD SENIOR MANOR,35.5384500,-78.3574000,Active,40,11/23/88,4/30/21,4/30/21
1063035,SILVER SPRINGS TERRACE - 053-002-NI,35.7369200,-81.2986200,Active,100,1/1/75,4/30/21,1/1/31
1063171,ERWIN ELDERLY HOUSING,35.3328030,-78.6729750,Active,30,5/8/86,4/30/21,4/30/21
1063820,THORNE RIDGE II APARTMENTS,35.9402600,-77.7658700,Active,40,1/1/99,4/30/21,1/1/30
1064200,KINGSGATE HOUSING,36.0479190,-79.8012290,Active,36,4/30/01,4/30/21,4/30/21
1064686,LUMBERTON W - C - K LP,34.6236100,-78.9942800,Active,36,4/30/01,4/30/21,4/30/21
1111836,FAIR MEADOWS APARTMENTS,36.4467300,-77.6705300,Active,72,7/28/78,4/30/21,1/8/43
1119443,FOREST RIDGE APARTMENTS,35.4764400,-79.1537200,Active,40,2/28/80,4/30/21,2/15/30
1019709,BARRINGER GARDENS,35.2149940,-80.8896810,Active,48,5/7/20,5/6/21,5/6/21
1063254,SMC GROUP HOME II,35.2797700,-80.7586700,Active,6,9/13/88,5/14/21,8/1/26
1009610,MATTHEWS HOUSE,35.8639000,-78.6038300,Active,6,5/16/06,5/16/21,5/16/21
1019405,ARC/HDS UNION COUNTY GROUP HOME #3,34.9333200,-80.5286100,Active,7,5/19/20,5/18/21,5/18/21
1023227,WHITTECAR HOME,35.8027300,-78.5883900,Active,7,5/26/93,5/20/21,8/1/32
1118021,BROWN'S TERRACE APARTMENTS,34.8195210,-77.9325640,Active,30,8/4/80,5/20/21,7/23/30
1063090,HOLLAND HOMES,36.1048060,-80.2292160,Active,114,6/1/11,5/31/21,12/1/52
1064952,KINGSWAY APARTMENTS,36.2750780,-80.3768460,Active,28,1/1/00,5/31/21,1/1/30
1065447,CITY OF RALEIGH 806-810 E JONES ST,35.7819560,-78.6279020,Active,4,5/31/06,5/31/21,5/31/21
1063284,VARITA COURT APARTMENTS,35.7265550,-77.9084750,Active,24,7/1/81,6/1/21,2/28/32
1019571,ARC/HDS LEE COUNTY GROUP HOME,35.4751900,-79.2328800,Active,7,6/4/20,6/3/21,6/3/21
1064592,VILLA TRACE LIMITED PARTNERSHIP,36.3172010,-80.3400200,Active,48,6/7/01,6/7/21,6/7/21
1063862,WOODLAND MANOR,35.7371400,-81.3724700,Active,48,8/23/99,6/12/21,1/1/30
1064638,WILLOW RUN LLC,35.7335000,-81.7152500,Active,24,6/12/01,6/12/21,6/12/21
1004627,RSS SCATTERED HOMES,35.1094600,-80.7916500,Active,63,8/1/07,6/21/21,7/1/42
1064172,UNDERWOOD APARTMENTS,35.9952200,-78.9228100,Active,44,6/21/01,6/21/21,6/21/21
1065214,NEW CONSTRUCTION OF PERMANENT HOUSING,35.2582210,-81.1866470,Active,4,6/28/01,6/28/21,6/28/21
1019721,MOTHER TERESA VILLA,35.1142210,-80.9658780,Active,13,7/1/20,6/30/21,6/30/21
1063110,LUTHERHAUS,35.7375410,-81.3260340,Active,50,10/1/06,6/30/21,9/1/41
1112407,CEDAR HURST APARTMENTS,36.3311100,-78.3943700,Active,52,6/30/80,6/30/21,1/8/43
1063314,ACADEMY VILLAGE APARTMENTS,36.0959800,-78.4594100,Active,50,8/1/81,7/1/21,8/1/32
1023161,JADE TREE/GLEN EDEN GROUP HOME,35.8706100,-78.6139500,Active,7,8/20/92,7/30/21,12/1/31
1004816,MHA HOUSING OF CENTRAL NC,35.9291300,-79.9782500,Active,51,7/1/07,7/31/21,6/1/42
1004945,MHA OF THE PIEDMONT,35.5195700,-78.3250300,Active,69,3/1/07,7/31/21,2/1/42
1004956,MHA HOUSING OF EASTERN NC,35.6041900,-77.8135500,Active,56,8/1/07,7/31/21,7/1/42
1004964,MHA HSG OF WESTERN NC,35.8032200,-80.8781600,Active,49,8/1/07,7/31/21,7/1/42
1063074,NEW BERN TOWERS,35.1040600,-77.0527800,Active,106,7/29/20,7/31/21,7/31/21
1063836,CROSSWINDS APARTMENTS,35.6924600,-80.5236400,Active,40,1/1/00,8/14/21,1/1/30
1019390,ARC/HDS LINCOLN COUNTY GROUP HOME,35.4741700,-81.2198100,Active,7,8/29/20,8/28/21,8/28/21
1019733,ARC/HDS CATAWBA CO GH #3,35.7277700,-81.2023030,Active,7,8/29/20,8/28/21,8/28/21
1019798,ARC/HDS GASTON CO GH #4,35.2499600,-81.1895300,Active,7,8/29/20,8/28/21,8/28/21
1019680,ARC/HDS RANDOLPH COUNTY GROUP HOME,35.6963000,-79.8217900,Active,7,8/30/20,8/29/21,8/29/21
1128141,,35.9443570,-77.8018220,Active,1,8/30/16,8/30/21,8/30/21
1063397,GIBSON VILLAGE,34.7552000,-79.6124000,Active,30,10/1/83,8/31/21,9/1/23
1017487,LAKE PARK APARTMENTS,36.1077940,-80.0905600,Inconclusive,150,10/1/81,9/1/21,9/1/21
1063300,LAKESIDE APARTMENTS,36.1097700,-79.4418100,Active,40,2/27/81,9/1/21,10/1/37
1000373,CAMPBELL RIDGE APARTMENTS,36.2675520,-80.3687580,Active,12,9/6/20,9/5/21,9/5/21
1064221,ELM GREEN APARTMENTS,34.8019140,-76.8590020,Active,48,1/1/99,9/17/21,1/1/29
1063158,YADKIN III APARTMENTS,36.2412470,-80.7087070,Active,22,9/2/16,9/30/21,9/30/21
1063160,SWANSBORO HILL APARTMENTS,34.6907750,-77.1379890,Active,48,1/1/02,9/30/21,12/1/46
1063280,UNITED MANOR COURTS,35.9086400,-77.5258500,Active,50,2/1/72,9/30/21,7/30/24
1063379,WESLEYAN HOMES OF TROY,35.3847200,-79.8754200,Active,40,6/2/87,9/30/21,1/1/27
1065209,,35.9377000,-79.0089250,Active,1,9/30/06,9/30/21,9/30/21
1065213,,35.9043690,-79.0649460,Active,1,9/30/06,9/30/21,9/30/21
1010175,NHS SCATTERED SITE APARTMENTS,35.6039280,-82.5480140,Active,16,10/20/01,10/20/21,10/20/21
1065287,,35.9555450,-80.0120850,Active,4,10/24/11,10/24/21,10/24/21
1147324,,35.4997100,-80.8491710,Active,32,10/25/01,10/25/21,10/25/21
1063373,RM WILSON APARTMENTS,35.9388100,-77.7931500,Active,50,12/1/81,11/1/21,4/1/51
1064947,BRAEBOURNE LP,35.8732690,-78.6913600,Active,50,11/6/01,11/6/21,11/6/21
1063894,WIND RIDGE,35.6043100,-82.6161500,Active,40,1/1/01,11/15/21,1/1/31
1064692,BAY RIVER LP,35.1655700,-76.7116100,Active,20,11/15/01,11/15/21,11/15/21
1023229,WNC COMMUNITY HOMES #3,35.4111300,-80.5492310,Active,7,2/3/93,11/20/21,12/1/31
1019794,HOFFMAN HOMES,35.2324420,-81.1358000,Active,81,2/1/04,11/30/21,11/30/21
1063421,HIGHLAND GREEN APARTMENTS,36.3199400,-78.3915500,Active,50,5/1/82,11/30/21,1/1/34
1019604,ARC/HDS GUILFORD CO GH #6,36.1297090,-79.8501600,Active,7,12/7/20,12/6/21,12/6/21
1115992,HOLLY PLAZA APARTMENTS,34.4938000,-77.5499400,Active,45,6/30/80,12/8/21,12/18/29
1023142,AS NEW HANOVER CO GH #1,34.1882820,-77.9032310,Active,7,11/9/92,12/29/21,2/1/32
1023144,AS NEW HANOVER CO GH #2,34.2129440,-77.9272740,Active,7,11/9/92,12/29/21,2/1/32
1115853,BELHAVEN SQUARE,35.5400490,-76.6201860,Active,32,2/17/82,12/31/21,2/5/32
1019716,ARC/HDS MECKLENBURG COUNTY GROUP HOME,35.2178500,-80.7491700,Active,7,1/2/21,1/1/22,1/1/22
1063238,JEFFERSON VILLAGE APARTMENTS,34.9831100,-80.5561800,Active,20,2/1/82,1/1/22,11/1/36
1063526,2915 LIBERTY RD,36.0301000,-79.7671000,Active,1,1/1/92,1/1/22,1/1/22
1063529,318 CROMER ST,35.2604000,-80.8856300,Active,1,1/1/92,1/1/22,1/1/22
1063536,4713 CTNEY LN,35.6507800,-78.7087440,Active,1,1/1/92,1/1/22,1/1/22
1063543,ALLEN STREET,36.0501700,-79.7986200,Active,1,1/1/92,1/1/22,1/1/22
1063549,BERN ST HOUSING,35.1113500,-77.0458500,Inconclusive,1,1/1/92,1/1/22,1/1/22
1063553,FISHER HEIGHTS APARTMENTS,35.7764200,-78.6076000,Inconclusive,2,1/1/92,1/1/22,1/1/22
1063559,HARRELL APARTMENTS,35.9798000,-78.8890700,Active,4,1/1/92,1/1/22,1/1/22
1063561,HARRELL-SMITH APARTMENTS,35.9796600,-78.8881100,Active,3,1/1/92,1/1/22,1/1/22
1063563,HOPKINS STREET APARTMENTS,35.9920400,-78.8887300,Inconclusive,4,1/1/92,1/1/22,1/1/22
1063565,INGLESIDE APARTMENTS,36.0948800,-79.7472500,Inconclusive,3,1/1/92,1/1/22,1/1/22
1063568,KINGS GRANT COURT,35.7981900,-80.8547800,Active,36,1/1/92,1/1/22,1/1/22
1063578,LANE WOODS: LOT #4,35.7452500,-77.9149700,Inconclusive,4,1/1/92,1/1/22,1/1/22
1063580,LANE WOODS: LOT #5,35.7452800,-77.9149900,Active,4,1/1/92,1/1/22,1/1/22
1063584,MCLOUIS CLAYTON RENTAL UNIT,35.9682800,-79.9813400,Active,1,1/1/92,1/1/22,1/1/22
1063590,NEALTOWN ROAD,36.1043500,-79.7348400,Inconclusive,1,1/1/92,1/1/22,1/1/22
1063599,SENECA WOODS,35.2915910,-80.7880350,Active,50,1/1/92,1/1/22,1/1/22
1063605,STEVENS APARTMENTS II,36.0739100,-79.7412700,Inconclusive,1,1/1/92,1/1/22,1/1/22
1063609,SUMMERFIELD APARTMENTS,35.1343200,-80.9455300,Active,53,1/1/92,1/1/22,1/1/22
1063613,WALNUT STREET APARTMENTS,35.3809700,-77.9904000,Active,55,1/1/92,1/1/22,1/1/22
1063615,WILLARD ST APARTMENTS,36.0939700,-79.7477700,Inconclusive,2,1/1/92,1/1/22,1/1/22
1063617,WILLIAM H BAKER JR,36.0920800,-79.7452500,Active,1,1/1/92,1/1/22,1/1/22
1063619,WOODCROFT APARTMENTS,35.6115900,-82.5579600,Active,111,1/1/92,1/1/22,1/1/22
1063797,6 QUAD OAK DR,36.0907600,-79.7316800,Active,1,1/1/92,1/1/22,1/1/22
1063799,1102 EASTON RD,36.0920800,-79.7452500,Inconclusive,1,1/1/92,1/1/22,1/1/22
1063803,1405 BROWN BLVD,36.0561400,-79.7588400,Inconclusive,1,1/1/92,1/1/22,1/1/22
1064308,THIRTY-SIX EAST APARTMENTS,36.1168840,-80.2296130,Inconclusive,42,1/1/92,1/1/22,1/1/22
1064472,RESIDENCE,35.9765700,-79.6987700,Inconclusive,1,1/1/92,1/1/22,1/1/22
1064482,GRAY HILL,35.3772700,-77.4428700,Active,40,2/1/82,1/1/22,6/1/22
1064546,FOX HOLLOW SUBDIVISION,35.7383800,-78.6089000,Inconclusive,1,1/1/92,1/1/22,1/1/22
1064851,TRYON GROVE APARTMENTS,35.7454900,-78.6898600,Active,48,1/1/92,1/1/22,1/1/22
1102057,WOODFIELD SUBDIVISION,35.7041000,-77.8952500,Inconclusive,1,1/1/92,1/1/22,1/1/22
1102059,WOODFIELD SUBDIVISION,35.7041000,-77.8952500,Inconclusive,1,1/1/92,1/1/22,1/1/22
1102061,WOODFIELD SUBDIVISION,35.7041000,-77.8952500,Inconclusive,1,1/1/92,1/1/22,1/1/22
1102079,WOODFIELD SUBDIVISION: LOT 7 SECTION 3,35.7038800,-77.8956000,Active,1,1/1/92,1/1/22,1/1/22
1103771,WOODFIELD SUBDIVISION,35.7038800,-77.8956000,Inconclusive,1,1/1/92,1/1/22,1/1/22
1107557,THE VILLAGE AT STONE CREEK,35.7071340,-79.8049160,Active,56,1/1/92,1/1/22,1/1/22
1108421,COURTNEY LANE TOWNHOMES,35.8470700,-78.5705900,Inconclusive,1,1/1/92,1/1/22,1/1/22
1115564,THE HEDGES APARTMENTS,35.3877600,-78.5461500,Active,98,10/1/78,1/1/22,11/23/48
1115610,BERRY COURT APARTMENTS,34.3284190,-78.8304700,Active,40,1/1/92,1/1/22,5/29/42
1115642,SCOTLAND ARMS APARTMENTS,36.1293600,-77.4198000,Active,20,1/1/92,1/1/22,4/26/37
1115809,NEW HILLMONT VILLAGE APARTMENTS,35.5509900,-78.1983700,Active,24,1/1/92,1/1/22,5/31/40
1116819,PINE RIDGE APARTMENTS,36.3095500,-80.1403600,Active,24,1/1/88,1/1/22,10/29/35
1117253,OAKLAND VILLAGE APARTMENTS,36.4122500,-77.8718580,Active,38,1/1/92,1/1/22,5/31/40
1117502,BROOKHOLLOW APARTMENTS,35.4918100,-79.1862700,Active,50,11/19/79,1/1/22,12/8/46
1117827,ARRINGTON PLACE,36.3932600,-78.1520500,Active,36,1/1/92,1/1/22,6/6/42
1117936,MOUNTAIN VILLAGE APARTMENTS,36.4182900,-81.4549900,Active,60,1/1/92,1/1/22,12/15/41
1118638,KINGSWOOD APARTMENTS,36.2747000,-80.3760500,Active,40,1/1/92,1/1/22,6/18/38
1118663,AZALEA GARDENS APARTMENTS,36.4339000,-77.1127400,Active,33,1/1/92,1/1/22,9/11/37
1118820,CEDAR HILL APARTMENTS,35.2563700,-82.7152200,Active,33,1/1/92,1/1/22,4/22/42
1120005,EDEN ELDERLY HOUSING DBA HIDDEN VALLEY APARTMENTS,36.4868340,-79.7427380,Active,66,1/1/92,1/1/22,3/1/48
1120193,OAK FOREST APARTMENTS,35.3087300,-81.1772900,Active,60,9/1/80,1/1/22,12/8/46
1120322,SUMMERFIELD APARTMENTS,35.4484400,-79.1533500,Active,78,2/17/78,1/1/22,11/23/48
1121805,CRESTFIELD APARTMENTS,35.3807900,-78.5372700,Active,36,1/1/92,1/1/22,11/11/40
1122163,VILLAGE PLACE APARTMENTS,35.0081060,-78.0917470,Active,40,1/1/92,1/1/22,8/22/48
1122327,MARIA PARHAM APARTMENTS,36.3265700,-78.4081000,Active,31,1/1/92,1/1/22,11/28/42
1151328,4709 COURTNEY LANE,35.8470700,-78.5705900,Inconclusive,1,1/1/92,1/1/22,1/1/22
1151330,4713 COURTNEY LANE,35.8470700,-78.5705900,Inconclusive,1,1/1/92,1/1/22,1/1/22
1151336,WOODFIELD SUBDIVISION,35.7041000,-77.8952500,Inconclusive,1,1/1/92,1/1/22,1/1/22
1151337,WOODFIELD SUBDIVISION,35.7041000,-77.8952500,Inconclusive,1,1/1/92,1/1/22,1/1/22
1063080,NORTH HENDERSON HEIGHTS,36.3350600,-78.4042800,Active,76,3/1/82,1/7/22,2/1/22
1063832,CANTERBURY PLACE,36.3356000,-79.6612200,Active,40,1/1/00,1/17/22,1/1/30
1063856,TROON APARTMENTS,34.7388000,-76.6389500,Active,44,1/1/00,1/17/22,1/1/30
1063236,PUREFOY ROAD GROUP HOME,35.8978200,-79.0520400,Active,7,12/7/82,2/1/22,12/30/22
1019689,ARC/HDS CARTERET CO GH #2,34.7444050,-76.6520680,Active,7,2/5/21,2/4/22,2/4/22
1019559,ARC/HDS ROWAN COUNTY GROUP HOME #4,35.6780100,-80.4574900,Active,7,2/11/21,2/10/22,2/10/22
1064500,KOINONIA II,35.9159400,-81.5403900,Active,42,1/1/01,2/11/22,1/1/31
1064859,HAYMOUNT MANOR HOUSING ASSOCLP,35.0975490,-78.9687580,Active,48,2/11/02,2/11/22,2/11/22
1064834,CANE CREEK VILLAGE,36.0366240,-82.1404240,Active,24,1/1/00,2/12/22,1/1/30
1019474,ARC/HDS MOORE COUNTY GROUP HOME #3,35.4271500,-79.5754600,Active,7,2/15/21,2/14/22,2/14/22
1063840,GRESHAM PLACE APARTMENTS,34.2675800,-77.8399500,Active,51,1/1/00,2/16/22,1/1/30
1019625,ARC/HDS FORSYTH CO GH #6,36.1640000,-80.2958300,Active,7,2/20/21,2/19/22,2/19/22
1019780,ARC/HDS RUTHERFORD COUNTY GROUP HOME #2,35.3418400,-81.8832300,Active,7,2/20/21,2/19/22,2/19/22
1019596,ARC/HDS ALAMANCE CO GH #9,36.0491400,-79.3925000,Active,7,2/26/21,2/25/22,2/25/22
1019602,ARC/HDS GUILFORD CO GH #7,36.0567350,-79.7913280,Active,7,2/26/21,2/25/22,2/25/22
1019610,ARC/HDS GUILFORD CO GH #8,36.1261300,-79.8319900,Active,7,2/26/21,2/25/22,2/25/22
1019438,ARC/HDS CRAVEN CO GH #3,35.0736870,-77.0218780,Active,7,2/27/21,2/26/22,2/26/22
1019454,ARC/HDS WASHINGTON COUNTY GROUP HOME #3,35.8706000,-76.7337800,Active,7,2/27/21,2/26/22,2/26/22
1019769,ARC/HDS CUMBERLAND CO GH #7,35.1325100,-78.8825800,Active,7,2/27/21,2/26/22,2/26/22
1065319,,35.4903950,-80.6172990,Active,1,2/28/12,2/28/22,2/28/22
1019563,YADKIN HOUSE,35.6672600,-80.4675500,Active,67,4/1/82,3/1/22,7/31/33
1065059,DURHAM COMMUNITY LAND TRUSTEES,35.9965010,-78.9037310,Active,1,3/8/17,3/8/22,3/8/22
1065251,,35.2523800,-80.8289720,Active,2,3/22/12,3/22/22,3/22/22
1065253,,35.2525000,-80.8288850,Active,2,3/27/12,3/27/22,3/27/22
1064159,BEECHRIDGE APARTMENTS II,35.7282290,-78.8608230,Active,40,1/1/97,4/16/22,1/1/30
1064848,WEST CARY APARTMENTS,35.7633570,-78.7866540,Active,72,4/16/02,4/16/22,4/16/22
1064918,PARK PLACE II,35.8427250,-78.6337220,Active,50,4/18/02,4/18/22,4/18/22
1064628,BEECHRIDGE APARTMENTS,35.7478800,-78.6372200,Active,40,4/19/02,4/19/22,4/19/22
1065206,GARNER SCHOOL APARTMENTS,35.7100900,-78.6109500,Active,45,4/19/02,4/19/22,4/19/22
1004933,RICHMOND HILL,35.3605200,-81.9609000,Active,40,5/1/93,4/30/22,8/1/38
1122045,HILLCREST APARTMENTS,36.3371400,-78.4166900,Active,48,4/19/82,4/30/22,4/6/32
1008850,DCLT - RENTAL,35.9937000,-78.9207900,Active,3,5/1/12,5/1/22,5/1/22
1063107,DUPLIN COUNTY HOUSING,34.8297600,-78.0920600,Active,85,6/1/82,5/1/22,11/1/33
1064216,ROCKWOOD AH-1,35.9775900,-78.9244100,Active,20,5/1/02,5/1/22,5/1/22
1064421,,35.2110300,-80.8645100,Active,50,5/2/02,5/2/22,11/3/24
1108827,TYLER RUN II,36.0691600,-76.5924200,Active,60,8/18/76,5/2/22,4/13/36
1064830,DUNBAR PLACE APARTMENTS,35.5299240,-82.5213270,Active,74,9/1/87,5/6/22,5/11/24
1108513,MCKENZIE PARK APARTMENTS PHASE II,35.4577100,-79.1632400,Active,36,1/1/01,5/8/22,1/1/31
1063282,UMSTEAD DRIVE GROUP HOME,35.9231700,-79.0593300,Active,7,4/15/81,5/14/22,5/14/22
1065288,,35.9409280,-80.0012990,Active,1,5/30/12,5/30/22,5/30/22
1019456,PRINCE COURT APARTMENTS,35.8887730,-77.5293340,Active,30,7/1/82,6/1/22,9/30/42
1064672,LINCOLN TERRACE APARTMENTS,35.4100200,-81.2029400,Active,40,7/1/82,6/1/22,7/1/32
1063870,HIGHLAND VILLAGE,36.4976100,-81.1262500,Active,30,1/1/01,6/20/22,1/1/31
1116435,HOLIDAY VILLAGE APARTMENTS,34.9287730,-79.7949600,Active,40,9/24/81,6/30/22,9/12/31
1063245,SHERATON TOWERS,35.9604100,-80.0073800,Active,97,8/1/82,7/1/22,1/1/41
1065224,GOLDSBORO DEVELOPMENT CORP INC,35.3665830,-77.9785160,Active,12,7/23/07,7/23/22,7/23/22
1129723,CALLOWAY HOUSE MT AIRY,36.5265920,-80.6268160,Active,12,7/25/17,7/25/22,7/25/22
1063317,STONECROFT VILLAGE APARTMENTS,35.2794200,-81.1629000,Active,72,9/1/82,8/1/22,3/1/33
1064842,CROWELL SQUARE APARTMENTS,35.5539620,-82.6182530,Active,40,8/9/02,8/9/22,8/9/22
1063335,WILKES TOWERS,36.1596900,-81.1463700,Active,72,10/1/82,9/1/22,6/30/36
1118113,BALDWIN PLACE APARTMENTS,34.7374200,-79.3578300,Active,36,1/1/01,9/25/22,1/15/32
1065097,,35.6170920,-82.5554440,Active,1,9/26/02,9/26/22,9/26/22
1064154,WIND RIDGE APARTMENTS,35.5948700,-82.6179200,Active,40,10/7/02,10/7/22,5/13/24
1064223,M/F RENTAL HOUSING - WINDHILL,36.1201240,-79.7436520,Active,60,10/7/02,10/7/22,10/7/22
1064224,AUTUMN RIDGE APARTMENTS,34.7865600,-77.3936200,Active,48,11/5/02,11/5/22,11/5/22
1065312,ONYX ST ACQ AKA 1101 INDIANA CITY OF KANN,35.4724310,-80.6049290,Active,1,11/5/12,11/5/22,11/5/22
